score,file_path,risk_type_hits
3,인사_고용_노무_고용계약/기타고용계약서_0351.txt,책임 면제:2; 과도한 위약금:1
3,인사_고용_노무_고용계약/기타고용계약서_0385.txt,과도한 위약금:2; 일방적 계약 해지:1
3,인사_고용_노무_고용계약/기타고용계약서_0352.txt,책임 면제:2; 과도한 위약금:1
3,인사_고용_노무_고용계약/기타고용계약서_0346.txt,책임 면제:2; 과도한 위약금:1
3,인사_고용_노무_고용계약/기타고용계약서_0347.txt,책임 면제:2; 과도한 위약금:1
3,인사_고용_노무_고용계약/기타고용계약서_0409.txt,책임 면제:3
3,인사_고용_노무_고용계약/기타고용계약서_0394.txt,과도한 위약금:2; 일방적 계약 해지:1
3,인사_고용_노무_고용계약/기타고용계약서_0234.txt,책임 면제:3
3,인사_고용_노무_고용계약/기타고용계약서_0396.txt,과도한 위약금:2; 일방적 계약 해지:1
3,인사_고용_노무_고용계약/기타고용계약서_0157.txt,과도한 위약금:3
3,인사_고용_노무_고용계약/기타고용계약서_0235.txt,책임 면제:3
3,인사_고용_노무_고용계약/기타고용계약서_0443.txt,과도한 위약금:3
3,인사_고용_노무_고용계약/기타고용계약서_0132.txt,과도한 위약금:3
3,인사_고용_노무_고용계약/기타고용계약서_0064.txt,과도한 위약금:3
3,인사_고용_노무_고용계약/기타고용계약서_0402.txt,책임 면제:3
3,인사_고용_노무_고용계약/기타고용계약서_0403.txt,책임 면제:3
3,인사_고용_노무_고용계약/기타고용계약서_0159.txt,과도한 위약금:3
3,인사_고용_노무_고용계약/기타고용계약서_0158.txt,과도한 위약금:3
3,인사_고용_노무_고용계약/기타고용계약서_0028.txt,과도한 위약금:2; 일방적 계약 해지:1
3,인사_고용_노무_고용계약/기타고용계약서_0160.txt,과도한 위약금:3
3,인사_고용_노무_고용계약/기타고용계약서_0404.txt,책임 면제:3
3,인사_고용_노무_고용계약/기타고용계약서_0405.txt,책임 면제:3
3,인사_고용_노무_고용계약/기타고용계약서_0161.txt,과도한 위약금:3
3,인사_고용_노무_고용계약/기타고용계약서_0349.txt,책임 면제:2; 과도한 위약금:1
3,인사_고용_노무_고용계약/기타고용계약서_0348.txt,책임 면제:2; 과도한 위약금:1
3,인사_고용_노무_고용계약/기타고용계약서_0162.txt,과도한 위약금:3
3,인사_고용_노무_고용계약/기타고용계약서_0016.txt,책임 면제:3
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0031.txt,과도한 위약금:2; 일방적 계약 해지:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0147.txt,책임 면제:2; 일방적 계약 해지:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0386.txt,책임 면제:1; 과도한 위약금:1; 보증금 반환 지연:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0225.txt,책임 면제:2; 과도한 위약금:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0033.txt,책임 면제:1; 과도한 위약금:2
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0218.txt,책임 면제:3
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0224.txt,책임 면제:1; 과도한 위약금:1; 보증금 반환 지연:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0037.txt,책임 면제:1; 과도한 위약금:1; 보증금 반환 지연:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0035.txt,책임 면제:2; 과도한 위약금:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0292.txt,책임 면제:3
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0132.txt,책임 면제:2; 일방적 계약 해지:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0079.txt,책임 면제:2; 과도한 위약금:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0131.txt,책임 면제:2; 과도한 위약금:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0280.txt,책임 면제:2; 일방적 계약 해지:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0134.txt,책임 면제:2; 과도한 위약금:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0043.txt,책임 면제:3
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0296.txt,책임 면제:2; 과도한 위약금:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0106.txt,책임 면제:1; 과도한 위약금:1; 보증금 반환 지연:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0265.txt,책임 면제:2; 일방적 계약 해지:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0105.txt,책임 면제:2; 일방적 계약 해지:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0267.txt,책임 면제:2; 과도한 위약금:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0048.txt,일방적 계약 해지:3
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0074.txt,책임 면제:2; 과도한 위약금:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0077.txt,책임 면제:3
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0373.txt,책임 면제:2; 과도한 위약금:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0213.txt,책임 면제:3
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0400.txt,책임 면제:2; 일방적 계약 해지:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0399.txt,책임 면제:2; 일방적 계약 해지:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0238.txt,책임 면제:2; 일방적 계약 해지:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0239.txt,책임 면제:1; 과도한 위약금:1; 보증금 반환 지연:1
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0215.txt,책임 면제:3
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0214.txt,책임 면제:3
3,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0216.txt,책임 면제:3
